"NAME" "CENSUS2010POP" "POPESTIMATE2011" "POPESTIMATE2012" "POPESTIMATE2013" "POPESTIMATE2014"
"Alabama" 4779736 4801108 4816089 4830533 4846411
"Alaska" 710231 722720 731228 737442 737046
"Arizona" 6392017 6468732 6553262 6630799 6728783
"Arkansas" 2915918 2938538 2949499 2957957 2966835
"California" 37253956 37700034 38056055 38414128 38792291
"Colorado" 5029196 5119480 5191731 5271132 5355588
"Connecticut" 3574097 3589759 3593541 3597168 3594762
"Delaware" 897934 907916 917099 925353 935968
"District of Columbia" 601723 620472 635342 649540 659836
"Florida" 18801310 19105533 19352021 19594467 19905569
"Georgia" 9687653 9812280 9917639 9991562 10097132
"Hawaii" 1360301 1378227 1392641 1408765 1420257
"Idaho" 1567582 1584134 1596097 1612785 1634806
"Illinois" 12830632 12861882 12875167 12889580 12882189
"Indiana" 6483802 6516845 6538283 6570518 6597880
"Iowa" 3046355 3065389 3076636 3092224 3109481
"Kansas" 2853118 2869917 2886281 2894630 2902507
"Kentucky" 4339367 4367882 4382667 4398500 4412617
"Louisiana" 4533372 4575381 4603676 4627491 4648990
"Maine" 1328361 1328257 1328888 1328778 1330256
"Maryland" 5773552 5844171 5890740 5936040 5975346
"Massachusetts" 6547629 6611797 6657780 6708810 6755124
"Michigan" 9883640 9876589 9886879 9900506 9916306
"Minnesota" 5303925 5348119 5380443 5420541 5457125
"Mississippi" 2967297 2977999 2985660 2990976 2993443
"Missouri" 5988927 6010587 6025468 6043708 6063827
"Montana" 989415 997746 1005157 1014402 1023252
"Nebraska" 1826341 1842383 1855973 1869300 1882980
"Nevada" 2700551 2718819 2754874 2790366 2838281
"New Hampshire" 1316470 1318344 1321393 1322660 1327996
"New Jersey" 8791894 8842934 8874893 8907384 8938844
"New Mexico" 2059179 2078226 2084792 2086890 2085567
"New York" 19378102 19523202 19606981 19691032 19748858
"North Carolina" 9535483 9651025 9747021 9845432 9940387
"North Dakota" 672591 685326 702265 723626 740040
"Ohio" 11536504 11545442 11551783 11572232 11596998
"Oklahoma" 3751351 3786626 3817679 3853405 3879610
"Oregon" 3831074 3868509 3899444 3928030 3971202
"Pennsylvania" 12702379 12745202 12772789 12783536 12793767
"Rhode Island" 1052567 1051856 1052393 1052856 1054907
"South Carolina" 4625364 4672733 4721341 4768498 4829160
"South Dakota" 814180 824289 834631 845270 853304
"Tennessee" 6346105 6398408 6455469 6496130 6547779
"Texas" 25145561 25654464 26089741 26500674 26979078
"Utah" 2763885 2816440 2856343 2903685 2944498
"Vermont" 625741 626687 626398 627129 626767
"Virginia" 8001024 8110783 8193374 8267875 8328098
"Washington" 6724540 6823229 6897292 6973281 7063166
"West Virginia" 1852994 1854948 1856283 1852985 1848751
"Wisconsin" 5686986 5709720 5726422 5743653 5759432
"Wyoming" 563626 567768 577080 583131 584304
"Puerto Rico" 3725789 3678736 3634487 3593079 3534888
