"Media" "Media.Detailed" "year" "spendings"
"73" "Outdoor" "Outdoor" 1976 102689
"74" "Transit" "Transit" 1976 19341
"75" "Point-of-Sale" "Point-of-Sale" 1976 44176
"76" "Promotional Allowances" "Promotional Allowances" 1976 82523
"77" "Sampling Distribution" "Sampling Distribution" 1976 4039
"78" "Specialty Item Distribution" "Specialty Item Distribution" 1976 2003
"79" "Public Entertainment" "Public Entertainment" 1976 7946
"80" "Direct Mail" "Direct Mail" 1976 NA
"81" "Endorsements & Testimonials" "Endorsements & Testimonials" 1976 NA
"82" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1976 NA
"83" "Coupons & Retail-Value-Added" "Coupons" 1976 0
"84" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1976 0
"85" "Internet" "Internet" 1976 NA
"86" "Price Discounts" "Price Discounts" 1976 NA
"87" "Promotional Allowances" "Promotional Allowances _ Retailers" 1976 0
"88" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1976 0
"89" "Promotional Allowances" "Promotional Allowances _  Other" 1976 0
"90" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1976 0
"91" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1976 0
"92" "Public Entertainment" "Public Entertainment _ Adult-Only" 1976 0
"93" "Public Entertainment" "Public Entertainment _ General-Audience" 1976 0
"94" "Sponsorships" "Sponsorships" 1976 NA
"95" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1976 0
"96" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1976 0
"97" "Internet" "Company Website" 1976 0
"98" "Internet" "Internet _ Other" 1976 0
"99" "Telephone" "Telephone" 1976 NA
"100" "Price Discounts" "Price Discounts - Retailers" 1976 0
"101" "Price Discounts" "Price Discounts - Wholesalers" 1976 0
"102" "Audio-Visual" "Audio-Visual" 1976 0
"103" "Socail Media" "Socail Media" 1976 0
"104" "Other" "Other" 1976 18182
"105" "Total" "Total" 1976 639117
"106" "Newspapers" "Newspapers" 1977 190677
"107" "Magazines" "Magazines" 1977 173296
"108" "Outdoor" "Outdoor" 1977 120338
"109" "Transit" "Transit" 1977 2153
"110" "Point-of-Sale" "Point-of-Sale" 1977 4622
"111" "Promotional Allowances" "Promotional Allowances" 1977 108227
"112" "Sampling Distribution" "Sampling Distribution" 1977 47683
