"Media" "Media.Detailed" "year" "spendings"
"461" "Promotional Allowances" "Promotional Allowances" 1987 70243
"462" "Sampling Distribution" "Sampling Distribution" 1987 5502
"463" "Specialty Item Distribution" "Specialty Item Distribution" 1987 391351
"464" "Public Entertainment" "Public Entertainment" 1987 71389
"465" "Direct Mail" "Direct Mail" 1987 187931
"466" "Endorsements & Testimonials" "Endorsements & Testimonials" 1987 376
"467" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1987 NA
"468" "Coupons & Retail-Value-Added" "Coupons" 1987 0
"469" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1987 0
"470" "Internet" "Internet" 1987 NA
"471" "Price Discounts" "Price Discounts" 1987 NA
"472" "Promotional Allowances" "Promotional Allowances _ Retailers" 1987 0
"473" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1987 0
"474" "Promotional Allowances" "Promotional Allowances _  Other" 1987 0
"475" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1987 0
"476" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1987 0
"477" "Public Entertainment" "Public Entertainment _ Adult-Only" 1987 0
"478" "Public Entertainment" "Public Entertainment _ General-Audience" 1987 0
"479" "Sponsorships" "Sponsorships" 1987 NA
"480" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1987 0
"481" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1987 0
"482" "Internet" "Company Website" 1987 0
"483" "Internet" "Internet _ Other" 1987 0
"484" "Telephone" "Telephone" 1987 NA
"485" "Price Discounts" "Price Discounts - Retailers" 1987 0
"486" "Price Discounts" "Price Discounts - Wholesalers" 1987 0
"487" "Audio-Visual" "Audio-Visual" 1987 0
"488" "Socail Media" "Socail Media" 1987 0
"489" "Other" "Other" 1987 299355
"490" "Total" "Total" 1987 2580504
"491" "Newspapers" "Newspapers" 1988 105783
"492" "Magazines" "Magazines" 1988 355055
"493" "Outdoor" "Outdoor" 1988 319293
"494" "Transit" "Transit" 1988 44379
"495" "Point-of-Sale" "Point-of-Sale" 1988 222289
"496" "Promotional Allowances" "Promotional Allowances" 1988 879703
"497" "Sampling Distribution" "Sampling Distribution" 1988 74511
"498" "Specialty Item Distribution" "Specialty Item Distribution" 1988 190003
"499" "Public Entertainment" "Public Entertainment" 1988 88072
"500" "Direct Mail" "Direct Mail" 1988 42545
"501" "Endorsements & Testimonials" "Endorsements & Testimonials" 1988 781
"502" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1988 874127
"503" "Coupons & Retail-Value-Added" "Coupons" 1988 0
"504" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1988 0
"505" "Internet" "Internet" 1988 NA
"506" "Price Discounts" "Price Discounts" 1988 NA
"507" "Promotional Allowances" "Promotional Allowances _ Retailers" 1988 0
"508" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1988 0
"509" "Promotional Allowances" "Promotional Allowances _  Other" 1988 0
"510" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1988 0
"511" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1988 0
"512" "Public Entertainment" "Public Entertainment _ Adult-Only" 1988 0
"513" "Public Entertainment" "Public Entertainment _ General-Audience" 1988 0
"514" "Sponsorships" "Sponsorships" 1988 NA
"515" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1988 0
"516" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1988 0
"517" "Internet" "Company Website" 1988 0
"518" "Internet" "Internet _ Other" 1988 0
"519" "Telephone" "Telephone" 1988 NA
"520" "Price Discounts" "Price Discounts - Retailers" 1988 0
"521" "Price Discounts" "Price Discounts - Wholesalers" 1988 0
"522" "Audio-Visual" "Audio-Visual" 1988 0
"523" "Socail Media" "Socail Media" 1988 0
"524" "Other" "Other" 1988 78366
"525" "Total" "Total" 1988 3274853
"526" "Newspapers" "Newspapers" 1989 76993
"527" "Magazines" "Magazines" 1989 380393
"528" "Outdoor" "Outdoor" 1989 358583
"529" "Transit" "Transit" 1989 52294
"530" "Point-of-Sale" "Point-of-Sale" 1989 241809
"531" "Promotional Allowances" "Promotional Allowances" 1989 999843
"532" "Sampling Distribution" "Sampling Distribution" 1989 57771
"533" "Specialty Item Distribution" "Specialty Item Distribution" 1989 262432
"534" "Public Entertainment" "Public Entertainment" 1989 9212
"535" "Direct Mail" "Direct Mail" 1989 45498
"536" "Endorsements & Testimonials" "Endorsements & Testimonials" 1989 0
"537" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1989 959965
"538" "Coupons & Retail-Value-Added" "Coupons" 1989 0
"539" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1989 0
"540" "Internet" "Internet" 1989 NA
"541" "Price Discounts" "Price Discounts" 1989 NA
"542" "Promotional Allowances" "Promotional Allowances _ Retailers" 1989 0
"543" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1989 0
"544" "Promotional Allowances" "Promotional Allowances _  Other" 1989 0
"545" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1989 0
"546" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1989 0
"547" "Public Entertainment" "Public Entertainment _ Adult-Only" 1989 0
"548" "Public Entertainment" "Public Entertainment _ General-Audience" 1989 0
"549" "Sponsorships" "Sponsorships" 1989 NA
"550" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1989 0
"551" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1989 0
"552" "Internet" "Company Website" 1989 0
"553" "Internet" "Internet _ Other" 1989 0
"554" "Telephone" "Telephone" 1989 NA
"555" "Price Discounts" "Price Discounts - Retailers" 1989 0
"556" "Price Discounts" "Price Discounts - Wholesalers" 1989 0
"557" "Audio-Visual" "Audio-Visual" 1989 0
"558" "Socail Media" "Socail Media" 1989 0
"559" "Other" "Other" 1989 8929
"560" "Total" "Total" 1989 3616993
"561" "Newspapers" "Newspapers" 1990 71174
"562" "Magazines" "Magazines" 1990 328143
"563" "Outdoor" "Outdoor" 1990 375627
"564" "Transit" "Transit" 1990 60249
"565" "Point-of-Sale" "Point-of-Sale" 1990 303855
"566" "Promotional Allowances" "Promotional Allowances" 1990 1021427
"567" "Sampling Distribution" "Sampling Distribution" 1990 100893
"568" "Specialty Item Distribution" "Specialty Item Distribution" 1990 307037
"569" "Public Entertainment" "Public Entertainment" 1990 125094
"570" "Direct Mail" "Direct Mail" 1990 51875
"571" "Endorsements & Testimonials" "Endorsements & Testimonials" 1990 0
"572" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1990 1183798
"573" "Coupons & Retail-Value-Added" "Coupons" 1990 0
"574" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1990 0
"575" "Internet" "Internet" 1990 NA
"576" "Price Discounts" "Price Discounts" 1990 NA
"577" "Promotional Allowances" "Promotional Allowances _ Retailers" 1990 0
"578" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1990 0
"579" "Promotional Allowances" "Promotional Allowances _  Other" 1990 0
"580" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1990 0
"581" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1990 0
"582" "Public Entertainment" "Public Entertainment _ Adult-Only" 1990 0
"583" "Public Entertainment" "Public Entertainment _ General-Audience" 1990 0
"584" "Sponsorships" "Sponsorships" 1990 NA
"585" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1990 0
"586" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1990 0
"587" "Internet" "Company Website" 1990 0
"588" "Internet" "Internet _ Other" 1990 0
"589" "Telephone" "Telephone" 1990 NA
"590" "Price Discounts" "Price Discounts - Retailers" 1990 0
"591" "Price Discounts" "Price Discounts - Wholesalers" 1990 0
"592" "Audio-Visual" "Audio-Visual" 1990 0
"593" "Socail Media" "Socail Media" 1990 0
"594" "Other" "Other" 1990 62917
"595" "Total" "Total" 1990 3992008
"596" "Newspapers" "Newspapers" 1991 48212
"597" "Magazines" "Magazines" 1991 27811
"598" "Outdoor" "Outdoor" 1991 386165
"599" "Transit" "Transit" 1991 60163
"600" "Point-of-Sale" "Point-of-Sale" 1991 34458
"601" "Promotional Allowances" "Promotional Allowances" 1991 1156280
"602" "Sampling Distribution" "Sampling Distribution" 1991 5697
"603" "Specialty Item Distribution" "Specialty Item Distribution" 1991 184348
"604" "Public Entertainment" "Public Entertainment" 1991 118622
"605" "Direct Mail" "Direct Mail" 1991 65002
"606" "Endorsements & Testimonials" "Endorsements & Testimonials" 1991 0
"607" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1991 1882905
"608" "Coupons & Retail-Value-Added" "Coupons" 1991 0
"609" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1991 0
"610" "Internet" "Internet" 1991 NA
"611" "Price Discounts" "Price Discounts" 1991 NA
"612" "Promotional Allowances" "Promotional Allowances _ Retailers" 1991 0
"613" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1991 0
"614" "Promotional Allowances" "Promotional Allowances _  Other" 1991 0
"615" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1991 0
"616" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1991 0
"617" "Public Entertainment" "Public Entertainment _ Adult-Only" 1991 0
"618" "Public Entertainment" "Public Entertainment _ General-Audience" 1991 0
"619" "Sponsorships" "Sponsorships" 1991 NA
"620" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1991 0
"621" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1991 0
"622" "Internet" "Company Website" 1991 0
"623" "Internet" "Internet _ Other" 1991 0
"624" "Telephone" "Telephone" 1991 NA
"625" "Price Discounts" "Price Discounts - Retailers" 1991 0
"626" "Price Discounts" "Price Discounts - Wholesalers" 1991 0
"627" "Audio-Visual" "Audio-Visual" 1991 0
"628" "Socail Media" "Socail Media" 1991 0
"629" "Other" "Other" 1991 68758
"630" "Total" "Total" 1991 4650114
"631" "Newspapers" "Newspapers" 1992 35467
"632" "Magazines" "Magazines" 1992 237061
"633" "Outdoor" "Outdoor" 1992 295657
"634" "Transit" "Transit" 1992 53293
"635" "Point-of-Sale" "Point-of-Sale" 1992 366036
"636" "Promotional Allowances" "Promotional Allowances" 1992 1514026
"637" "Sampling Distribution" "Sampling Distribution" 1992 49315
"638" "Specialty Item Distribution" "Specialty Item Distribution" 1992 339997
"639" "Public Entertainment" "Public Entertainment" 1992 89739
"640" "Direct Mail" "Direct Mail" 1992 34345
"641" "Endorsements & Testimonials" "Endorsements & Testimonials" 1992 0
"642" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1992 2175373
"643" "Coupons & Retail-Value-Added" "Coupons" 1992 0
"644" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1992 0
"645" "Internet" "Internet" 1992 NA
"646" "Price Discounts" "Price Discounts" 1992 NA
"647" "Promotional Allowances" "Promotional Allowances _ Retailers" 1992 0
"648" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1992 0
"649" "Promotional Allowances" "Promotional Allowances _  Other" 1992 0
"650" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1992 0
"651" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1992 0
"652" "Public Entertainment" "Public Entertainment _ Adult-Only" 1992 0
"653" "Public Entertainment" "Public Entertainment _ General-Audience" 1992 0
"654" "Sponsorships" "Sponsorships" 1992 NA
"655" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1992 0
"656" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1992 0
"657" "Internet" "Company Website" 1992 0
"658" "Internet" "Internet _ Other" 1992 0
"659" "Telephone" "Telephone" 1992 NA
"660" "Price Discounts" "Price Discounts - Retailers" 1992 0
"661" "Price Discounts" "Price Discounts - Wholesalers" 1992 0
"662" "Audio-Visual" "Audio-Visual" 1992 0
"663" "Socail Media" "Socail Media" 1992 0
"664" "Other" "Other" 1992 41608
"665" "Total" "Total" 1992 5231917
"666" "Newspapers" "Newspapers" 1993 3622
"667" "Magazines" "Magazines" 1993 235253
"668" "Outdoor" "Outdoor" 1993 231481
"669" "Transit" "Transit" 1993 39117
"670" "Point-of-Sale" "Point-of-Sale" 1993 400943
"671" "Promotional Allowances" "Promotional Allowances" 1993 1557635
"672" "Sampling Distribution" "Sampling Distribution" 1993 40202
"673" "Specialty Item Distribution" "Specialty Item Distribution" 1993 75578
"674" "Public Entertainment" "Public Entertainment" 1993 84276
"675" "Direct Mail" "Direct Mail" 1993 31463
"676" "Endorsements & Testimonials" "Endorsements & Testimonials" 1993 0
"677" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1993 2559387
"678" "Coupons & Retail-Value-Added" "Coupons" 1993 0
"679" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1993 0
"680" "Internet" "Internet" 1993 NA
"681" "Price Discounts" "Price Discounts" 1993 NA
"682" "Promotional Allowances" "Promotional Allowances _ Retailers" 1993 0
"683" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1993 0
"684" "Promotional Allowances" "Promotional Allowances _  Other" 1993 0
"685" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1993 0
"686" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1993 0
"687" "Public Entertainment" "Public Entertainment _ Adult-Only" 1993 0
"688" "Public Entertainment" "Public Entertainment _ General-Audience" 1993 0
"689" "Sponsorships" "Sponsorships" 1993 NA
"690" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1993 0
"691" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1993 0
"692" "Internet" "Company Website" 1993 0
"693" "Internet" "Internet _ Other" 1993 0
"694" "Telephone" "Telephone" 1993 NA
"695" "Price Discounts" "Price Discounts - Retailers" 1993 0
"696" "Price Discounts" "Price Discounts - Wholesalers" 1993 0
"697" "Audio-Visual" "Audio-Visual" 1993 0
"698" "Socail Media" "Socail Media" 1993 0
"699" "Other" "Other" 1993 6368
"700" "Total" "Total" 1993 6035437
"701" "Newspapers" "Newspapers" 1994 24143
"702" "Magazines" "Magazines" 1994 251644
"703" "Outdoor" "Outdoor" 1994 240024
"704" "Transit" "Transit" 1994 29323
"705" "Point-of-Sale" "Point-of-Sale" 1994 34265
"706" "Promotional Allowances" "Promotional Allowances" 1994 1678917
"707" "Sampling Distribution" "Sampling Distribution" 1994 6974
"708" "Specialty Item Distribution" "Specialty Item Distribution" 1994 85081
"709" "Public Entertainment" "Public Entertainment" 1994 81292
"710" "Direct Mail" "Direct Mail" 1994 31187
"711" "Endorsements & Testimonials" "Endorsements & Testimonials" 1994 0
"712" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1994 1248896
"713" "Coupons & Retail-Value-Added" "Coupons" 1994 0
"714" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1994 0
"715" "Internet" "Internet" 1994 NA
"716" "Price Discounts" "Price Discounts" 1994 NA
"717" "Promotional Allowances" "Promotional Allowances _ Retailers" 1994 0
"718" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1994 0
"719" "Promotional Allowances" "Promotional Allowances _  Other" 1994 0
"720" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1994 0
"721" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1994 0
"722" "Public Entertainment" "Public Entertainment _ Adult-Only" 1994 0
"723" "Public Entertainment" "Public Entertainment _ General-Audience" 1994 0
"724" "Sponsorships" "Sponsorships" 1994 NA
"725" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1994 0
"726" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1994 0
"727" "Internet" "Company Website" 1994 0
"728" "Internet" "Internet _ Other" 1994 0
"729" "Telephone" "Telephone" 1994 NA
"730" "Price Discounts" "Price Discounts - Retailers" 1994 0
"731" "Price Discounts" "Price Discounts - Wholesalers" 1994 0
"732" "Audio-Visual" "Audio-Visual" 1994 0
"733" "Socail Media" "Socail Media" 1994 0
"734" "Other" "Other" 1994 47672
"735" "Total" "Total" 1994 4833532
"736" "Newspapers" "Newspapers" 1995 19122
"737" "Magazines" "Magazines" 1995 248848
"738" "Outdoor" "Outdoor" 1995 273664
"739" "Transit" "Transit" 1995 22543
"740" "Point-of-Sale" "Point-of-Sale" 1995 259035
"741" "Promotional Allowances" "Promotional Allowances" 1995 1865657
"742" "Sampling Distribution" "Sampling Distribution" 1995 13836
"743" "Specialty Item Distribution" "Specialty Item Distribution" 1995 665173
"744" "Public Entertainment" "Public Entertainment" 1995 110669
"745" "Direct Mail" "Direct Mail" 1995 34618
"746" "Endorsements & Testimonials" "Endorsements & Testimonials" 1995 0
"747" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1995 1348378
"748" "Coupons & Retail-Value-Added" "Coupons" 1995 0
"749" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1995 0
"750" "Internet" "Internet" 1995 NA
"751" "Price Discounts" "Price Discounts" 1995 NA
"752" "Promotional Allowances" "Promotional Allowances _ Retailers" 1995 0
"753" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1995 0
"754" "Promotional Allowances" "Promotional Allowances _  Other" 1995 0
"755" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1995 0
"756" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1995 0
"757" "Public Entertainment" "Public Entertainment _ Adult-Only" 1995 0
"758" "Public Entertainment" "Public Entertainment _ General-Audience" 1995 0
"759" "Sponsorships" "Sponsorships" 1995 NA
"760" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1995 0
"761" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1995 0
"762" "Internet" "Company Website" 1995 0
"763" "Internet" "Internet _ Other" 1995 0
"764" "Telephone" "Telephone" 1995 NA
"765" "Price Discounts" "Price Discounts - Retailers" 1995 0
"766" "Price Discounts" "Price Discounts - Wholesalers" 1995 0
"767" "Audio-Visual" "Audio-Visual" 1995 0
"768" "Socail Media" "Socail Media" 1995 0
"769" "Other" "Other" 1995 3368
"770" "Total" "Total" 1995 4895223
"771" "Newspapers" "Newspapers" 1996 14067
"772" "Magazines" "Magazines" 1996 243046
"773" "Outdoor" "Outdoor" 1996 292261
"774" "Transit" "Transit" 1996 28865
"775" "Point-of-Sale" "Point-of-Sale" 1996 252619
"776" "Promotional Allowances" "Promotional Allowances" 1996 2150838
"777" "Sampling Distribution" "Sampling Distribution" 1996 15945
"778" "Specialty Item Distribution" "Specialty Item Distribution" 1996 544345
"779" "Public Entertainment" "Public Entertainment" 1996 171177
"780" "Direct Mail" "Direct Mail" 1996 38703
"781" "Endorsements & Testimonials" "Endorsements & Testimonials" 1996 0
"782" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1996 1308708
"783" "Coupons & Retail-Value-Added" "Coupons" 1996 0
"784" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1996 0
"785" "Internet" "Internet" 1996 432
"786" "Price Discounts" "Price Discounts" 1996 NA
"787" "Promotional Allowances" "Promotional Allowances _ Retailers" 1996 0
"788" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1996 0
"789" "Promotional Allowances" "Promotional Allowances _  Other" 1996 0
"790" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1996 0
"791" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1996 0
"792" "Public Entertainment" "Public Entertainment _ Adult-Only" 1996 0
"793" "Public Entertainment" "Public Entertainment _ General-Audience" 1996 0
"794" "Sponsorships" "Sponsorships" 1996 NA
"795" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1996 0
"796" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1996 0
"797" "Internet" "Company Website" 1996 0
"798" "Internet" "Internet _ Other" 1996 0
"799" "Telephone" "Telephone" 1996 NA
"800" "Price Discounts" "Price Discounts - Retailers" 1996 0
"801" "Price Discounts" "Price Discounts - Wholesalers" 1996 0
"802" "Audio-Visual" "Audio-Visual" 1996 0
"803" "Socail Media" "Socail Media" 1996 0
"804" "Other" "Other" 1996 46696
"805" "Total" "Total" 1996 5107700
"806" "Newspapers" "Newspapers" 1997 1698
"807" "Magazines" "Magazines" 1997 23695
"808" "Outdoor" "Outdoor" 1997 295334
"809" "Transit" "Transit" 1997 26407
"810" "Point-of-Sale" "Point-of-Sale" 1997 30536
"811" "Promotional Allowances" "Promotional Allowances" 1997 2438468
"812" "Sampling Distribution" "Sampling Distribution" 1997 22065
"813" "Specialty Item Distribution" "Specialty Item Distribution" 1997 512602
"814" "Public Entertainment" "Public Entertainment" 1997 195203
"815" "Direct Mail" "Direct Mail" 1997 3731
"816" "Endorsements & Testimonials" "Endorsements & Testimonials" 1997 0
"817" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1997 0
"818" "Coupons & Retail-Value-Added" "Coupons" 1997 55255
"819" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1997 970363
"820" "Internet" "Internet" 1997 215
"821" "Price Discounts" "Price Discounts" 1997 NA
"822" "Promotional Allowances" "Promotional Allowances _ Retailers" 1997 0
"823" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1997 0
"824" "Promotional Allowances" "Promotional Allowances _  Other" 1997 0
"825" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1997 0
"826" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1997 0
"827" "Public Entertainment" "Public Entertainment _ Adult-Only" 1997 0
"828" "Public Entertainment" "Public Entertainment _ General-Audience" 1997 0
"829" "Sponsorships" "Sponsorships" 1997 NA
"830" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1997 0
"831" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1997 0
"832" "Internet" "Company Website" 1997 0
"833" "Internet" "Internet _ Other" 1997 0
"834" "Telephone" "Telephone" 1997 NA
"835" "Price Discounts" "Price Discounts - Retailers" 1997 0
"836" "Price Discounts" "Price Discounts - Wholesalers" 1997 0
"837" "Audio-Visual" "Audio-Visual" 1997 0
"838" "Socail Media" "Socail Media" 1997 0
"839" "Other" "Other" 1997 50207
"840" "Total" "Total" 1997 5660014
"841" "Newspapers" "Newspapers" 1998 29444
"842" "Magazines" "Magazines" 1998 281296
"843" "Outdoor" "Outdoor" 1998 294721
"844" "Transit" "Transit" 1998 40158
"845" "Point-of-Sale" "Point-of-Sale" 1998 290739
"846" "Promotional Allowances" "Promotional Allowances" 1998 2878919
"847" "Sampling Distribution" "Sampling Distribution" 1998 14436
"848" "Specialty Item Distribution" "Specialty Item Distribution" 1998 355835
"849" "Public Entertainment" "Public Entertainment" 1998 248536
"850" "Direct Mail" "Direct Mail" 1998 57772
"851" "Endorsements & Testimonials" "Endorsements & Testimonials" 1998 0
"852" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1998 0
"853" "Coupons & Retail-Value-Added" "Coupons" 1998 624199
"854" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1998 1555391
"855" "Internet" "Internet" 1998 125
"856" "Price Discounts" "Price Discounts" 1998 NA
"857" "Promotional Allowances" "Promotional Allowances _ Retailers" 1998 0
"858" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1998 0
"859" "Promotional Allowances" "Promotional Allowances _  Other" 1998 0
"860" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1998 0
"861" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1998 0
"862" "Public Entertainment" "Public Entertainment _ Adult-Only" 1998 0
"863" "Public Entertainment" "Public Entertainment _ General-Audience" 1998 0
"864" "Sponsorships" "Sponsorships" 1998 NA
"865" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1998 0
"866" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1998 0
"867" "Internet" "Company Website" 1998 0
"868" "Internet" "Internet _ Other" 1998 0
"869" "Telephone" "Telephone" 1998 NA
"870" "Price Discounts" "Price Discounts - Retailers" 1998 0
"871" "Price Discounts" "Price Discounts - Wholesalers" 1998 0
"872" "Audio-Visual" "Audio-Visual" 1998 0
"873" "Socail Media" "Socail Media" 1998 0
"874" "Other" "Other" 1998 61584
"875" "Total" "Total" 1998 6733157
"876" "Newspapers" "Newspapers" 1999 50952
"877" "Magazines" "Magazines" 1999 377364
"878" "Outdoor" "Outdoor" 1999 53787
"879" "Transit" "Transit" 1999 5573
"880" "Point-of-Sale" "Point-of-Sale" 1999 329429
"881" "Promotional Allowances" "Promotional Allowances" 1999 3542950
"882" "Sampling Distribution" "Sampling Distribution" 1999 33711
"883" "Specialty Item Distribution" "Specialty Item Distribution" 1999 33568
"884" "Public Entertainment" "Public Entertainment" 1999 267379
"885" "Direct Mail" "Direct Mail" 1999 9461
"886" "Endorsements & Testimonials" "Endorsements & Testimonials" 1999 0
"887" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1999 0
"888" "Coupons & Retail-Value-Added" "Coupons" 1999 531004
"889" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1999 2559883
"890" "Internet" "Internet" 1999 651
"891" "Price Discounts" "Price Discounts" 1999 NA
"892" "Promotional Allowances" "Promotional Allowances _ Retailers" 1999 0
"893" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1999 0
"894" "Promotional Allowances" "Promotional Allowances _  Other" 1999 0
"895" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1999 0
"896" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1999 0
"897" "Public Entertainment" "Public Entertainment _ Adult-Only" 1999 0
"898" "Public Entertainment" "Public Entertainment _ General-Audience" 1999 0
"899" "Sponsorships" "Sponsorships" 1999 NA
"900" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1999 0
"901" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1999 0
"902" "Internet" "Company Website" 1999 0
"903" "Internet" "Internet _ Other" 1999 0
"904" "Telephone" "Telephone" 1999 NA
"905" "Price Discounts" "Price Discounts - Retailers" 1999 0
"906" "Price Discounts" "Price Discounts - Wholesalers" 1999 0
"907" "Audio-Visual" "Audio-Visual" 1999 0
"908" "Socail Media" "Socail Media" 1999 0
"909" "Other" "Other" 1999 54658
"910" "Total" "Total" 1999 8237631
"911" "Newspapers" "Newspapers" 2000 51652
"912" "Magazines" "Magazines" 2000 294916
"913" "Outdoor" "Outdoor" 2000 9262
"914" "Transit" "Transit" 2000 4
"915" "Point-of-Sale" "Point-of-Sale" 2000 347038
"916" "Promotional Allowances" "Promotional Allowances" 2000 3913997
"917" "Sampling Distribution" "Sampling Distribution" 2000 2233
"918" "Specialty Item Distribution" "Specialty Item Distribution" 2000 327826
"919" "Public Entertainment" "Public Entertainment" 2000 30961
"920" "Direct Mail" "Direct Mail" 2000 92902
"921" "Endorsements & Testimonials" "Endorsements & Testimonials" 2000 0
"922" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2000 0
"923" "Coupons & Retail-Value-Added" "Coupons" 2000 705299
"924" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2000 3453446
"925" "Internet" "Internet" 2000 949
