year;percentage
1970;37.4
1971;
1972;
1973;
1974;37.1
1975;
1976;
1977;
1978;34.1
1979;
1980;33.2
1981;
1982;
1983;32.1
1984;
1985;30.1
1986;
1987;28.8
1988;
1989;
1990;25.5
1991;
1992;
1993;25
1994;
1995;24.7
1996;
1997;24.7
1998;
1999;23.5
2000;
2001;22.8
2002;22.5
2003;21.6
2004;20.9
2005;20.9
2006;20.8
2007;19.8
2008;20.6
2009;20.6
2010;19.3
2011;19.0
2012;18.1
2013;17.8
2014;16.8
